Artist;Titel;Anm;LP-nr;Pris
Lou Reed (the best of);Walk on the wild side;VG/VG-NM;LP 0366;150
Joni Mitchell;Dog eat dog;VG/VG-NM;LP 0369;120
Elvis Costello;Punch the clock;VG/VG-NM;LP 0370;90
Elvis Costello ;This years model;VG/VG-NM;LP 0372;180
Rolling Stones;Emotional rescue;VG-NM/NM;LP 0379;690
Jam;The gift;VG/VG;LP 0382;150
Jam;This is the modern world;VG-NM/NM;LP 0384;180
Jam;In the city;VG-NM/VG-NM;LP 0385;280
Shanana;The golden age of Rock´n Roll;G-VG/VG-NM;LP 0389;250
Grace Jones;Muse;VG/G;LP 0397;50
Rreal thing;The best of;VG/VG-NM;LP 0399;50
Lou Reed;Legendary Hearts;G-VG/VG;LP 0401;120
John Lennon, Yoko Ono;Double Fantasy;VG/G (Hack sida 1 spår 1);LP 0402;90
Eurythmics;Revenge;VG-NM/NM;LP 0403;180
Neil Young;This note´s for you;VG/G;LP 0405;90
Alan Parsons project;Gaudi;VG/VG;LP 0406;50
Chemistry Set;Chemistry Set;VG-NM/VG-NM;LP 0407;120
Sham 69;The game;G-VG/G-VG;LP 0408;120
Eccentrics;All our days;VG-NM/VG;LP 0409;280
Tears for fears;Everybody wants to rule the world;VG-NM/VG (EP  45rpm);LP 0410;50
A-ha;Scoundrel Days;VG-NM/VG;LP 0411;120
Elton John;Ice on fire;VG-NM/VG-NM;LP 0412;120
Various artists;Read my lips;NM/NM;LP 0413;90
JOJO;JOJO;VG/VG;LP 0414;90
Steve Gibbons band;Street Parade;VG/NM;LP 0416;90
Alan Parsons project;I Robot;G-VG/VG-NM;LP 0417;90
John Philip;Wait for the night;VG/VG-NM;LP 0418;50
Styx;Paradise;G-VG/VG (Laser cut design);LP 0419;120
Alan Parsons project;Ammonia avenue;VG-NM/VG-NM;LP 0420;90
Dire Straits;Making movies;VG/VG;LP 0421;90
Lou Reed;New Sensations;VG-NM/VG;LP 0422;150
Specials;More Specials;VG-NM/VG-NM;LP 0423;150
Carol King;Tapestry;VG/VG;LP 0424;150
Elvis Costello;King of America;VG-NM/VG-NM;LP 0426;90
Roger McGuinn;Back from Rio;VG/VG;LP 0432;50
Joe Tex;Bumps & Bruises;G/VG;LP 0433;50
Gary´s Gang;Gangbuster;VG/VG;LP 0434;90
David Lindley;El Rayo Live;VG/VG;LP 0435;90
Chi Coltrane;Road to tomorrow;VG/VG;LP 0436;50
Tina Turner;Tina Live in Europe;VG/G-VG;LP 0437;90
Jim Gilstrap;Swing your daddy;VG/VG;LP 0442;50
Linda Ronstadt;Living in the USA;VG/VG;LP 0443;90
Linda Ronstadt;Simpel dreams;VG/VG;LP 0444;90
Silver Convention;Summernights;VG/VG;LP 0447;50
Elton John;Captain Fantastic;VG/VG;LP 0448;250
Bette Middler;Divine Madness;VG/M (Obruten förpackning);LP 0449;90
Elvis Presley;Pure Gold – Take Off;VG/VG;LP 0452;50
Elvis Presley;I got lucky;VG/VG;LP 0453;50
Hall & Oats;Live at the Apollo;VG/VG;LP 0454;50
Georgia Satellites;Georgia Satellites;VG/VG-NM;LP 0458;90
Pezband;Cover to cover;VG-NM/NM;LP 0460;50
U2;The unforgettable fire;VG/VG (Maxi-singel 45 rpm);LP 0461;50
U2;The unforgettable fire;NM/G;LP 0464;120
U2;Boy;NM/VG;LP 0465;300
Rupert Hine;The wildest wish to fly;NM/VG-NM;LP 0467;50
Lindsey Buckingham;Law and order;VG/VG-NM;LP 0469;90
Boston;Don´t look back;VG-NM/NM;LP 0475;90
Infared feat. N.E.U.K sideA;N.E.U.K feat. John Dilly side B;VG/NM  (promocopy);LP 0476;350
Blue Steel;No more lonely nights;VG/VG;LP 0478;50
Crosby, Stills & Nash;Allies;VG-NM/VG-NM;LP 0479;120
A-ha;Hunting high and low;VG/VG;LP 0481;120
Ten Years After;Ssssh;Poor-G/G;LP 0485;90
John Farnham;Whispering Jack;VG-NM/VG-NM;LP 0486;90
Midge Ure;The Gift;VG-NM/VG-NM;LP 0489;90
Bobby Vee;Gates, Grills & Railings;VG/VG;LP 0490;120
Various artists;Medleymania;VG/VG;LP 0491;50
George Benson;While the city sleeps.;VG/VG;LP 0494;50
Daryl Braithwaite;Edge;VG-NM/VG-NM;LP 0495;120
Robert Fripp & L of G-men;The League of Gentlemen;VG-NM/VG-NM;LP 0496;150
Beatles;The complete Silver Beatles;VG/VG;LP 0500;250
Beatles;At the Hollywood Bowl;VG-NM/NM;LP 0503;190
Beatles;Magical Mystery Tour ;VG-NM/NM;LP 0504;750
WHO;Who are you;VG/VG;LP 0508;150
John Denver;Greatest Hits 2;VG/VG-NM;LP 0510;90
Batfish Boys;Batfish Brew;G/G;LP 0514;50
